cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,lrscale,ctzcntr,gndr,agea,edulvla,tporgwk,hinctnt,hinctnta,regiongb,wrywprb,jbprtfp,stfjb,plnftr
GB,ESS1-9e01,1.0,10.12.2020,183730,ESS1e06_6,1,6.6,100607,1.0512,1.38512374662031,2.32684152046784,3.22296344462211,5,1,2,58,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183731,ESS1e06_6,1,6.6,100610,1.5768,2.27278240222203,2.32684152046784,5.28840446047886,88,1,1,18,3,,88,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183732,ESS1e06_6,1,6.6,100611,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,3,1,1,81,1,,88,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183733,ESS1e06_6,1,6.6,100613,0.5256,0.635593691734079,2.32684152046784,1.47892579207429,3,1,1,49,3,,8,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183734,ESS1e06_6,1,6.6,100614,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,7,1,1,59,1,,11,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183735,ESS1e06_6,1,6.6,100615,0.5256,0.557870988486726,2.32684152046784,1.29807737907535,7,1,1,73,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183736,ESS1e06_6,1,6.6,100617,0.5256,0.557870988486726,2.32684152046784,1.29807737907535,5,1,1,88,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183737,ESS1e06_6,1,6.6,100618,1.0512,1.38512374662031,2.32684152046784,3.22296344462211,7,1,2,70,5,,88,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183738,ESS1e06_6,1,6.6,100620,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,6,1,2,80,3,,8,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183739,ESS1e06_6,1,6.6,100621,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,10,1,1,77,1,,7,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183740,ESS1e06_6,1,6.6,100624,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,8,1,1,76,5,,77,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183741,ESS1e06_6,1,6.6,100703,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,4,1,2,48,5,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183742,ESS1e06_6,1,6.6,100707,1.5768,2.27278240222203,2.32684152046784,5.28840446047886,6,1,1,29,5,,88,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183743,ESS1e06_6,1,6.6,100708,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,7,1,1,73,5,,12,,11,,,,
